Frame;Time;X_Arena0_Ind0;Y_Arena0_Ind0;X_Arena1_Ind0;Y_Arena1_Ind0;X_Arena2_Ind0;Y_Arena2_Ind0;X_Arena3_Ind0;Y_Arena3_Ind0;X_Arena4_Ind0;Y_Arena4_Ind0;X_Arena5_Ind0;Y_Arena5_Ind0;X_Arena6_Ind0;Y_Arena6_Ind0;X_Arena7_Ind0;Y_Arena7_Ind0;X_Arena8_Ind0;Y_Arena8_Ind0
19098;639.07;557.4633782;297.0612855;903.3467258;328.4163466;1284.453434;343.1141225;538.8960758;632.3935047;849.8897311;563.6735342;1214.7235;505.2686004;620.5862591;936.8222357;862.3966006;877.8005531;1190.381872;839.4052763
19099;639.1;555.972583;294.1024531;903.3479853;328.3114543;1284.610086;343.6246656;539.0330944;632.4666844;850.0458633;563.6515299;1215.027934;505.1303179;620.665264;936.6707745;862.4019728;877.8066667;1190.373317;839.3483875
19100;639.14;553.3436578;290.1651917;903.2084462;328.1776507;1284.736371;343.738812;538.9959861;632.5184194;850.2082681;563.452856;1215.11201;505.1726484;620.8123383;936.3250746;862.4965164;878.0661885;1190.351705;839.3135003
19101;639.17;551.4072524;286.4965132;903.1815332;328.0481392;1284.71485;343.5677147;539.2159878;632.7047927;850.3225806;563.6316233;1214.945588;505.1475041;620.8388442;936.3224109;862.9324658;877.782716;1190.405731;839.3602476
19102;639.2;550.9252616;284.4633782;911.6699331;331.7109193;1284.557012;343.4647003;538.9196985;632.4171864;851.1193644;564.7317689;1215.376068;505.5491453;620.4110145;936.5442512;863.5973662;877.6317231;1190.566501;839.1493228
19103;639.24;548.5178827;279.4992847;911.8333333;331.7209572;1284.473118;343.5553287;539.0183359;632.4427435;852.5324563;565.5564595;1215.227181;505.5360727;620.4845528;936.5244381;863.6296657;877.3369036;1190.551244;839.1601996
19104;639.27;547.7964602;275.659292;911.8387933;331.5354702;1284.746972;343.782224;538.9424485;632.3844232;850.9959365;564.8450314;1215.390459;505.6820513;620.6201801;936.8285379;863.7935795;877.5422283;1190.1246;839.5588492
19105;639.31;547;271.6043478;911.5383592;331.5748395;1284.876894;343.8267045;538.9471258;632.336551;851.1118916;564.7703019;1215.253888;505.5961953;620.7638079;936.4745235;872.3463041;871.2627704;1190.563708;839.0675871
19106;639.34;547.2717087;267.1904762;911.4619842;331.5741915;1284.966847;344.3517825;539.0971011;632.4469116;851.3036955;564.9244912;1215.220309;505.5853367;620.4429316;936.6985323;863.6262607;877.2970386;1190.171439;839.5695589
19107;639.37;547.9067215;265.9986283;911.4748805;331.6156439;1285.029985;344.23175;539.0420866;632.583466;850.9414141;565.0091215;1215.255833;505.4692857;620.6893457;936.7556456;863.8922655;877.3886978;1190.360294;839.6752451
19108;639.41;549.6011158;262.6136681;903.4316391;328.6381009;1284.952501;344.2257614;538.9232867;632.391748;850.4526843;564.6324396;1215.270512;505.5126;620.7395131;936.6310746;863.7736178;877.1062399;1190.188777;839.7265032
19109;639.44;551.0629183;261.4270415;903.4669003;328.8482282;1284.707243;344.1380695;539.0606061;632.4888474;850.2618099;564.6984759;1215.026369;505.4879981;620.5865938;936.4869582;871.9002853;871.1548111;1190.235562;839.6683312
19110;639.47;553.8002545;260.0038168;903.319805;328.5551577;1284.938519;344.2250105;539.1571716;632.5784545;850.4977264;564.7029178;1214.859102;505.4738771;620.5923122;936.5181518;871.9317371;871.1219016;1190.262024;839.743054
19111;639.51;555.3;259.8847222;903.3278802;328.5577037;1284.665129;344.2786862;539.0981119;632.6513146;850.6942304;564.7657082;1214.77715;505.3293286;620.7257483;936.5252023;863.603696;877.3294095;1190.212784;839.5895991
19112;639.54;557.0899032;259.5504841;903.3291642;328.5634306;1284.922025;344.3688663;539.0964912;632.6447368;850.7388284;564.816748;1214.859212;505.5042735;620.7634191;936.5675051;863.4726378;877.5008311;1190.240973;839.5842721
