Item1.ElementType,Item1.Size.Width,Item1.Size.Height,Item1.IsInvalid,Item1.Depth,Item1.Channels,Item1.Width,Item1.Height,Item1.WidthStep,Item1.ImageData,Item1.ChannelOfInterest,Item1.RegionOfInterest.X,Item1.RegionOfInterest.Y,Item1.RegionOfInterest.Width,Item1.RegionOfInterest.Height,Item1.IsClosed,Item2.ElementType,Item2.Size.Width,Item2.Size.Height,Item2.IsInvalid,Item2.Depth,Item2.Channels,Item2.Width,Item2.Height,Item2.WidthStep,Item2.ImageData,Item2.ChannelOfInterest,Item2.RegionOfInterest.X,Item2.RegionOfInterest.Y,Item2.RegionOfInterest.Width,Item2.RegionOfInterest.Height,Item2.IsClosed,Item3.Value.Centroid.X,Item3.Value.Centroid.Y,Item3.Value.Orientation,Item3.Value.MajorAxisLength,Item3.Value.MinorAxisLength,Item3.Value.Area,Item3.Timestamp,Item4.ElementType,Item4.Size.Width,Item4.Size.Height,Item4.IsInvalid,Item4.Depth,Item4.Channels,Item4.Width,Item4.Height,Item4.WidthStep,Item4.ImageData,Item4.ChannelOfInterest,Item4.RegionOfInterest.X,Item4.RegionOfInterest.Y,Item4.RegionOfInterest.Width,Item4.RegionOfInterest.Height,Item4.IsClosed,Item5.ElementType,Item5.Size.Width,Item5.Size.Height,Item5.IsInvalid,Item5.Depth,Item5.Channels,Item5.Width,Item5.Height,Item5.WidthStep,Item5.ImageData,Item5.ChannelOfInterest,Item5.RegionOfInterest.X,Item5.RegionOfInterest.Y,Item5.RegionOfInterest.Width,Item5.RegionOfInterest.Height,Item5.IsClosed,Item6.ElementType,Item6.Size.Width,Item6.Size.Height,Item6.IsInvalid,Item6.Depth,Item6.Channels,Item6.Width,Item6.Height,Item6.WidthStep,Item6.ImageData,Item6.ChannelOfInterest,Item6.RegionOfInterest.X,Item6.RegionOfInterest.Y,Item6.RegionOfInterest.Width,Item6.RegionOfInterest.Height,Item6.IsClosed
0,1920,1080,False,U8,1,1920,1080,1920,642879568,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,642879568,0,0,0,1920,1080,False,153.1531,822.0414,0.035593043756239,271.811518735116,82.5923619533222,17032.5,2024-10-07T10:44:40.6138240+01:00,0,1920,1080,False,U8,1,1920,1080,1920,642879568,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,642879568,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,642879568,0,0,0,1920,1080,False
0,1920,1080,False,U8,1,1920,1080,1920,796569680,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,796569680,0,0,0,1920,1080,False,153.1762,773.267,0.213247616040735,291.328366027674,203.095609655123,43603.5,2024-10-07T10:44:40.6372224+01:00,0,1920,1080,False,U8,1,1920,1080,1920,796569680,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,796569680,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,796569680,0,0,0,1920,1080,False
0,1920,1080,False,U8,1,1920,1080,1920,755937360,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,755937360,0,0,0,1920,1080,False,153.3424,772.472,0.219812630959537,290.050259696776,205.173437729809,43854.5,2024-10-07T10:44:40.6692608+01:00,0,1920,1080,False,U8,1,1920,1080,1920,755937360,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,755937360,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,755937360,0,0,0,1920,1080,False
0,1920,1080,False,U8,1,1920,1080,1920,807223376,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,807223376,0,0,0,1920,1080,False,153.235,774.1578,0.20674094942793,291.056095035477,201.406507970849,43094.5,2024-10-07T10:44:40.6997120+01:00,0,1920,1080,False,U8,1,1920,1080,1920,807223376,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,807223376,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,807223376,0,0,0,1920,1080,False
0,1920,1080,False,U8,1,1920,1080,1920,832540752,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,832540752,0,0,0,1920,1080,False,153.2538,781.9565,0.176164214431349,290.851576182224,183.295587281646,38814,2024-10-07T10:44:40.7305216+01:00,0,1920,1080,False,U8,1,1920,1080,1920,832540752,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,832540752,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,832540752,0,0,0,1920,1080,False
0,1920,1080,False,U8,1,1920,1080,1920,642904144,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,642904144,0,0,0,1920,1080,False,153.1769,782.8666,0.191376210454735,291.445355037759,182.309580732047,38143.5,2024-10-07T10:44:40.7759488+01:00,0,1920,1080,False,U8,1,1920,1080,1920,642904144,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,642904144,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,642904144,0,0,0,1920,1080,False
0,1920,1080,False,U8,1,1920,1080,1920,762232912,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,762232912,0,0,0,1920,1080,False,153.6752,822.2032,0.0295808330884478,271.325421329443,82.0443386192748,16957,2024-10-07T10:44:40.8082816+01:00,0,1920,1080,False,U8,1,1920,1080,1920,762232912,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,762232912,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,762232912,0,0,0,1920,1080,False
0,1920,1080,False,U8,1,1920,1080,1920,764399696,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,764399696,0,0,0,1920,1080,False,152.6026,822.2862,0.0365296926887789,270.601669751548,82.5535985528925,16782,2024-10-07T10:44:40.8398208+01:00,0,1920,1080,False,U8,1,1920,1080,1920,764399696,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,764399696,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,764399696,0,0,0,1920,1080,False
0,1920,1080,False,U8,1,1920,1080,1920,796557392,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,796557392,0,0,0,1920,1080,False,153.1222,822.8694,0.0343718764883618,271.976390806416,80.6832325149126,16585.5,2024-10-07T10:44:40.8734976+01:00,0,1920,1080,False,U8,1,1920,1080,1920,796557392,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,796557392,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,796557392,0,0,0,1920,1080,False
0,1920,1080,False,U8,1,1920,1080,1920,755908688,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,755908688,0,0,0,1920,1080,False,153.5325,822.588,0.0343798861016966,271.512939042824,81.4212599495361,16695.5,2024-10-07T10:44:40.9058432+01:00,0,1920,1080,False,U8,1,1920,1080,1920,755908688,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,755908688,0,0,0,1920,1080,False,0,1920,1080,False,U8,1,1920,1080,1920,755908688,0,0,0,1920,1080,False
